,HOUSEHOLD_X,HOUSEHOLD_Y,HOUSEHOLD_TYPE,WORKPLACE_X,WORKPLACE_X,WORKPLACE_TYPE
93,182,351,12,274,265,7
94,157,263,12,234,91,10
95,193,145,14,227,227,23
96,271,45,14,231,112,24
97,292,87,14,274,209,16
98,310,244,14,278,235,7
99,180,172,14,71,241,24
100,285,113,14,145,226,6
101,217,215,14,330,359,10
102,291,329,14,295,250,6
103,325,364,14,295,217,10
104,187,123,14,234,157,10
105,288,226,14,174,223,17
106,202,224,14,285,274,6
107,195,172,14,260,65,16
108,208,250,14,246,145,10
109,188,235,14,277,239,23
110,181,141,12,274,108,16
111,210,241,14,278,234,10
112,243,229,14,268,235,10
113,241,354,14,256,386,8
114,185,293,12,170,218,17
115,328,392,14,295,245,23
116,179,207,14,245,130,24
117,307,72,14,184,202,10
118,244,348,14,312,314,17
119,322,356,14,290,94,17
120,218,232,14,242,237,42
121,243,311,12,296,392,24
122,209,99,14,268,203,23
123,210,199,14,247,116,24
124,304,358,14,486,94,17
125,194,214,14,284,265,10
126,283,51,12,156,314,17
127,317,127,12,196,291,33
128,314,221,14,261,337,17
129,201,215,14,238,330,24
130,246,360,14,330,390,6
131,187,113,12,465,111,20
132,207,345,12,324,396,17
133,253,343,14,351,284,6
134,242,356,14,272,241,30
135,309,94,12,157,296,10
136,219,342,14,238,106,10
137,247,217,14,187,239,10
138,213,341,14,249,145,16
139,213,319,14,248,326,6
140,210,168,14,211,136,8
141,270,382,14,286,237,10
142,341,350,14,332,344,6
143,210,171,14,333,300,25
144,303,120,14,355,224,17
145,304,259,37,275,242,8
146,199,210,14,281,279,10
147,233,170,37,282,249,10
148,307,365,14,273,385,10
149,307,305,14,240,261,23
150,305,106,12,242,190,10
151,221,212,14,268,242,46
152,205,283,14,220,270,23
153,301,99,14,234,117,6
154,300,223,14,226,250,30
155,190,235,14,319,229,10
156,196,284,14,255,336,17
157,304,259,14,274,102,23
158,244,160,14,191,253,17
159,271,85,12,309,222,25
160,305,392,14,101,23,17
161,316,286,14,333,199,9
162,212,315,37,207,263,20
163,217,169,14,270,212,24
164,240,347,14,200,239,24
165,212,221,14,305,242,10
166,313,233,14,246,86,24
167,328,359,14,348,267,18
168,55,53,14,281,240,16
169,316,87,12,140,314,23
170,122,315,14,164,225,20
171,246,341,14,190,139,17
172,192,242,14,318,391,25
173,175,218,14,178,234,17
174,286,122,14,363,295,17
175,230,228,14,291,231,7
176,291,212,14,285,259,23
177,198,194,12,248,346,6
178,193,169,37,302,256,6
179,311,276,14,276,228,7
180,84,18,12,309,222,25
181,216,330,12,278,134,18
182,275,230,14,276,238,7
183,209,190,14,339,233,6
184,239,233,14,295,246,21
185,221,167,14,386,180,6
186,308,239,14,246,96,24
187,92,24,12,306,240,8
188,187,348,12,265,342,6
189,314,280,14,272,202,16
190,195,241,14,227,269,7
191,281,100,14,257,268,25
192,184,227,14,260,238,24
193,205,219,14,271,172,38
194,219,241,14,276,239,28
195,222,223,14,267,303,23
196,188,175,12,277,351,2
197,219,291,11,296,233,16
198,232,239,14,310,236,6
199,295,215,14,281,270,10
200,217,328,12,337,360,17
201,248,225,14,285,263,10
202,207,209,14,339,116,9
203,190,153,12,359,193,0
204,174,161,14,254,351,25
205,274,237,14,287,221,21
206,252,351,14,290,245,7
207,311,92,14,461,99,17
208,269,45,14,327,207,17
209,216,223,14,289,219,0
210,231,269,14,282,252,23
211,339,273,37,195,181,10
212,208,251,14,239,96,20
213,185,210,14,188,168,6
214,249,349,14,198,255,42
215,186,122,37,70,365,25
216,243,364,14,83,27,17
217,283,160,12,237,229,10
218,213,173,14,272,295,18
219,244,353,14,253,182,24
220,305,392,14,295,236,10
221,215,330,12,265,375,10
222,337,281,37,194,137,33
223,202,272,14,205,180,25
224,321,330,14,302,225,7
225,197,127,14,290,94,17
226,202,224,14,245,207,10
227,299,218,14,169,270,6
228,266,162,12,279,223,8
229,321,356,14,302,264,25
230,202,208,14,282,242,7
231,248,394,14,248,158,10
232,293,222,14,264,239,10
233,296,128,14,224,209,10
234,241,333,14,183,238,38
235,222,287,14,239,253,10
236,293,248,14,319,229,10
237,241,354,14,291,244,23
238,251,342,14,300,231,23
239,298,42,14,262,238,24
240,237,400,14,243,213,33
241,296,238,14,345,347,1
242,223,204,14,326,389,6
243,297,118,14,259,339,42
244,321,357,14,108,315,25
245,158,252,37,292,257,9
246,248,212,14,284,249,10
247,199,121,12,275,234,7
248,347,193,14,156,314,17
249,333,325,14,248,143,10
250,320,356,14,216,226,10
251,317,369,14,271,203,10
252,123,315,12,319,257,20
253,343,295,37,251,185,24
254,244,364,14,295,256,8
255,214,230,14,279,228,7
256,250,248,14,328,206,17
257,122,315,14,231,240,23
258,238,303,14,290,303,24
259,197,237,14,286,121,1
260,230,328,14,165,248,17
261,172,194,14,239,155,10
262,208,256,14,248,141,24
263,318,355,14,245,197,17
264,137,333,12,276,250,23
265,298,80,12,341,121,17
266,310,119,14,324,214,17
267,277,103,14,69,337,25
268,200,261,14,468,122,2
269,168,191,14,58,49,7
270,243,307,14,324,320,10
271,223,188,14,246,344,17
272,293,267,14,247,178,6
273,275,53,12,390,201,17
274,181,233,14,249,258,10
275,216,331,12,180,185,6
276,210,293,14,249,255,7
277,306,303,14,221,196,7
278,156,321,12,251,335,10
279,187,126,14,206,260,8
280,313,115,14,290,251,17
281,194,243,14,297,114,17
282,234,98,12,313,365,17
283,151,328,12,153,149,24
284,317,199,14,287,251,23
285,283,127,14,332,354,22
286,92,55,12,289,236,16
287,280,99,14,268,231,10
288,190,305,12,256,164,7
289,195,143,12,287,266,6
290,211,268,14,246,380,6
291,294,109,14,196,260,25
292,285,127,14,261,337,17
293,304,244,14,331,207,9
294,287,138,14,333,376,25
295,277,52,14,223,231,33
296,208,202,14,348,170,8
297,322,224,14,287,237,24
298,250,367,14,236,329,17
299,299,58,14,270,235,7
300,43,51,14,105,316,2
301,177,220,14,195,320,25
302,328,108,12,260,301,24
303,192,209,14,314,384,17
304,246,158,14,313,257,25
305,293,336,14,190,220,17
306,287,231,14,270,146,3
307,341,351,14,280,240,16
308,317,184,14,211,226,10
309,301,143,14,260,177,10
310,222,248,12,291,289,17
311,201,151,12,89,23,17
312,298,238,14,436,348,25
313,183,182,14,277,216,7
314,180,197,14,203,223,10
315,304,244,14,228,313,33
316,215,330,12,296,240,7
317,287,238,14,336,365,1
318,202,202,14,292,227,1
319,296,343,14,247,160,10
320,230,328,14,296,241,8
321,95,59,14,288,246,30
322,212,262,14,288,282,6
323,306,252,14,303,324,17
324,245,310,14,291,232,6
325,93,24,12,89,23,17
326,218,228,14,309,282,17
327,268,373,14,215,251,17
328,215,270,14,220,362,6
329,210,129,12,308,337,10
330,317,93,12,315,354,9
331,203,221,14,256,164,24
332,329,109,14,184,202,10
333,217,213,14,269,233,33
334,216,158,14,274,355,10
335,235,266,14,54,51,7
336,280,79,12,295,256,23
337,97,25,14,227,234,38
338,245,346,14,247,131,24
339,204,222,14,211,206,10
340,319,340,14,246,404,10
341,194,244,14,273,181,10
342,187,227,37,344,285,17
343,65,61,14,248,326,6
344,223,243,14,317,289,30
345,88,20,12,250,341,1
346,297,128,14,292,240,7
347,65,35,12,278,260,23
348,43,50,14,295,245,23
349,65,61,14,210,171,6
350,300,357,14,293,230,23
351,215,214,14,276,226,16
352,191,145,12,190,220,17
353,239,252,14,296,259,17
354,275,244,14,461,245,17
355,241,354,14,288,240,10
356,212,189,14,301,294,10
357,283,233,37,326,208,46
358,254,348,14,231,326,46
359,308,247,14,229,225,23
360,251,351,14,351,347,6
361,276,131,14,258,63,16
362,197,237,14,240,103,10
363,77,4,12,312,249,8
364,244,340,14,240,100,24
365,247,219,14,303,222,6
366,331,219,14,291,292,46
367,189,243,14,289,262,10
368,213,176,14,299,289,23
369,362,187,37,233,100,24
370,202,179,12,298,235,10
371,343,328,37,261,235,24
372,184,181,14,220,207,10
373,187,222,14,270,128,25
374,330,207,14,263,230,24
375,247,217,14,307,225,44
376,191,146,12,286,260,20
377,302,256,14,313,234,0
378,251,209,14,201,198,6
379,324,340,14,317,239,25
380,305,128,14,250,341,1
381,86,48,14,358,317,30
382,208,206,14,262,397,25
383,275,146,12,275,222,7
384,297,242,14,246,145,10
385,308,404,14,277,227,7
386,190,142,14,244,252,42
387,237,217,14,299,289,23
388,215,156,37,277,220,16
389,324,363,14,267,233,10
390,186,246,37,281,234,10
391,345,196,14,267,231,10
392,202,224,14,267,233,10
393,325,364,14,342,224,42
394,289,265,14,220,207,10
395,321,357,14,297,253,30
396,147,325,12,286,246,23
397,235,314,12,239,157,24
398,305,392,14,286,221,23
399,222,228,14,52,51,25
400,203,222,11,232,229,6
401,203,127,12,304,243,21
402,84,20,12,266,238,10
403,208,178,14,282,403,17
404,284,57,14,242,140,10
405,210,323,14,266,399,3
406,183,179,14,244,200,17
407,238,217,14,210,305,24
408,251,218,12,278,164,3
409,255,205,14,276,228,10
410,279,243,14,305,247,17
411,313,196,14,201,207,8
412,341,323,14,83,27,17
413,205,221,37,266,232,10
414,180,221,14,319,271,17
415,244,221,14,300,241,17
416,225,203,14,229,273,10
417,259,369,14,219,96,17
418,267,248,14,272,171,38
419,214,176,14,286,260,20
420,301,217,14,269,238,10
421,310,255,14,289,265,21
422,342,236,14,303,330,25
423,258,344,14,266,238,10
424,283,206,14,305,240,17
425,257,231,14,342,347,1
426,336,318,37,273,181,10
427,314,239,14,233,234,23
428,253,253,14,214,207,10
429,308,105,14,231,246,1
430,266,241,14,288,224,23
431,257,50,12,206,281,42
432,205,215,14,240,234,10
433,244,249,14,276,259,30
434,289,95,14,193,137,33
435,205,255,14,215,100,6
436,307,93,14,249,258,10
437,295,327,14,247,358,10
438,249,162,14,341,245,13
439,238,224,14,316,233,6
440,213,334,14,180,186,6
441,219,172,14,283,396,17
442,240,347,14,288,241,7
443,264,410,14,298,231,8
444,303,337,14,252,189,24
445,286,153,12,285,239,10
446,302,129,14,290,284,28
447,180,278,14,341,192,6
448,214,267,14,234,271,10
449,215,334,14,294,111,23
450,276,47,14,373,196,25
451,302,298,14,339,214,17
452,203,233,14,266,196,10
453,324,362,14,242,265,46
454,305,244,14,289,264,13
455,214,214,14,304,203,2
456,308,344,14,287,248,23
457,196,325,12,187,192,7
458,284,149,14,191,330,6
459,211,227,14,295,240,10
460,347,277,37,275,223,23
461,301,327,14,184,318,25
462,222,244,14,298,231,8
463,333,194,14,277,251,23
464,326,104,12,309,282,17
465,230,234,14,194,137,33
466,162,186,14,243,159,3
467,92,52,12,288,268,21
468,165,335,12,227,116,6
469,310,347,14,231,112,24
470,316,100,12,301,244,8
471,226,197,14,273,234,7
472,329,308,14,211,189,18
473,189,133,14,215,100,6
474,282,41,14,337,206,7
475,240,228,14,273,239,7
476,197,199,14,273,182,10
477,285,222,14,248,224,21
478,295,347,14,313,216,6
479,266,46,14,202,217,10
480,275,224,14,130,226,6
481,269,110,12,254,54,7
482,314,378,14,346,293,9
483,316,359,14,246,344,17
484,217,350,14,101,23,17
485,223,188,14,300,329,6
486,327,359,14,150,162,6
487,188,245,14,348,170,8
488,298,269,14,266,333,10
489,215,254,14,164,195,6
490,186,213,14,105,24,17
491,284,411,14,196,260,25
492,237,223,14,340,342,17
493,189,175,12,206,206,1
494,219,224,14,122,297,6
495,236,120,14,281,184,10
496,238,250,14,294,244,1
497,216,306,12,255,272,10
498,215,330,12,303,360,10
499,237,215,14,260,173,24
500,280,79,12,278,251,23
501,330,197,12,359,334,18
502,275,132,14,320,362,17
503,370,178,12,308,218,17
504,302,102,12,268,188,30
505,178,253,12,269,250,6
506,256,249,14,270,146,3
507,267,248,14,340,347,17
508,204,288,14,282,410,17
509,322,287,14,267,233,10
510,308,118,12,98,38,17
511,269,118,14,247,358,10
512,158,321,12,263,331,6
513,307,237,11,235,103,24
514,317,358,14,204,202,6
515,48,45,14,242,257,10
516,254,353,14,270,232,10
517,269,115,14,141,227,17
518,80,59,14,289,232,7
519,233,315,12,315,214,17
520,211,201,14,256,156,10
521,224,194,14,281,235,10
522,292,320,14,280,200,10
523,246,360,14,284,262,3
524,283,252,14,280,381,6
525,246,165,12,161,284,17
526,192,189,14,204,256,25
527,88,24,14,69,48,6
528,242,356,14,278,237,7
529,285,165,12,214,332,10
530,205,252,14,300,265,6
531,204,344,14,296,262,25
532,284,34,12,287,265,21
533,311,354,14,262,231,6
534,303,205,37,230,235,7
535,302,220,14,416,173,6
536,251,218,12,299,240,6
537,199,119,12,258,337,25
538,202,271,14,289,282,10
539,170,229,14,300,268,25
540,316,364,14,266,195,10
541,214,341,14,299,219,10
542,165,193,14,221,215,23
543,333,325,14,278,251,23
544,88,33,12,188,226,25
545,274,85,12,213,206,10
546,192,121,12,294,225,30
547,217,210,14,267,60,23
548,211,218,14,277,188,10
549,311,256,14,231,246,1
550,298,232,14,280,244,27
551,320,102,14,315,356,24
552,197,207,14,207,252,17
553,252,351,14,321,108,20
554,286,232,14,180,185,6
555,306,260,14,298,318,27
556,247,162,14,336,35,8
557,235,244,12,290,166,23
558,255,72,12,269,143,10
559,244,347,14,50,50,17
560,192,151,14,339,377,6
561,314,133,12,195,256,16
562,237,225,14,340,343,6
563,97,51,12,192,225,10
564,321,126,14,319,229,10
565,277,255,14,301,242,25
566,237,364,12,354,208,17
567,242,107,14,288,224,23
568,203,131,12,109,319,25
569,288,106,14,282,241,7
570,272,243,14,368,372,17
571,266,122,14,290,172,38
572,292,33,12,267,233,10
573,65,60,37,276,190,18
574,170,238,14,274,403,17
575,235,130,14,328,206,17
576,313,310,14,277,186,10
577,227,121,12,267,120,23
578,300,319,14,152,236,17
579,194,321,14,267,231,10
580,351,171,14,266,229,7
581,303,110,12,279,253,23
582,89,49,14,330,341,17
583,316,350,14,273,386,6
584,218,339,14,267,247,30
585,281,228,14,245,130,24
586,41,58,14,277,122,16
587,220,176,14,279,193,16
588,224,209,14,271,196,10
589,189,305,12,285,191,38
590,163,199,12,50,53,6
591,280,228,14,254,151,10
592,187,174,12,289,235,1
593,297,130,14,290,244,38
594,341,323,14,282,410,17
595,355,175,14,261,179,24
596,297,237,14,235,242,17
597,250,248,14,310,236,6
598,236,118,14,209,230,10
599,321,232,14,465,111,20
600,264,104,14,289,227,7
601,315,385,14,124,317,6
602,94,34,12,285,271,46
603,224,99,14,292,239,7
604,199,254,14,270,212,24
605,238,223,14,298,171,1
606,212,272,14,266,232,10
607,187,222,14,271,211,10
608,222,265,14,273,236,23
609,187,154,12,272,171,38
610,201,134,37,390,201,17
611,222,288,14,258,269,25
612,290,413,14,238,103,10
613,319,307,14,274,233,7
614,319,330,14,298,253,10
615,214,196,14,216,320,9
616,218,150,14,289,244,23
617,213,214,14,348,198,6
618,312,353,14,335,341,17
619,207,217,14,231,99,24
620,234,222,14,288,283,33
621,204,203,14,285,248,10
622,63,35,14,289,266,21
623,233,165,37,247,92,24
624,297,214,37,226,90,24
625,251,341,14,348,266,18
626,345,185,14,146,314,10
627,369,182,12,302,233,6
628,343,326,14,212,307,17
629,260,358,14,305,109,30
630,198,104,12,239,224,23
631,218,236,14,272,233,7
632,223,202,14,317,254,6
633,300,360,14,321,364,6
634,248,248,14,194,319,17
635,198,198,14,449,110,46
636,163,221,14,299,286,10
637,285,188,12,296,251,28
638,188,177,14,195,256,16
639,199,219,14,275,234,7
640,246,227,14,298,270,30
641,202,215,14,260,238,24
642,309,86,14,269,250,6
643,192,156,12,277,245,23
644,313,363,14,224,203,10
645,252,347,14,50,53,6
646,141,321,12,289,249,6
647,294,335,14,261,360,10
648,293,336,14,327,207,17
649,283,106,12,309,216,6
650,70,28,12,288,240,10
651,274,243,37,303,324,17
652,316,299,14,244,201,6
653,224,285,14,301,221,10
654,286,238,14,141,227,17
655,322,100,14,254,181,24
656,190,166,14,194,137,33
657,240,221,14,151,252,8
658,330,313,14,194,130,17
659,346,341,37,297,289,10
660,248,218,14,305,257,8
661,284,100,14,291,303,10
662,320,321,14,333,372,6
663,285,53,14,51,53,6
664,313,356,14,259,404,6
665,257,362,14,286,237,10
666,279,74,14,299,237,25
667,317,367,14,299,266,25
668,298,234,14,281,234,10
669,175,235,14,298,240,25
670,291,30,12,276,353,6
671,188,245,14,353,377,17
672,223,206,14,228,90,24
673,237,198,14,299,288,23
674,220,212,14,271,234,7
675,178,248,14,255,174,24
676,307,365,14,255,146,24
677,197,184,14,276,102,23
678,182,268,37,269,211,3
679,286,246,14,279,155,10
680,299,66,11,242,151,7
681,281,130,14,237,233,33
682,179,264,14,336,35,8
683,45,54,12,239,256,10
684,276,133,14,296,259,17
685,230,350,14,239,253,10
686,206,176,12,302,233,6
687,237,340,14,234,267,10
688,287,222,14,180,246,0
689,213,289,14,241,143,24
690,188,140,12,338,307,6
691,200,276,14,223,194,6
692,221,168,14,174,152,17
693,238,203,14,287,379,6
694,179,264,14,152,227,6
695,195,283,14,298,271,6
696,321,357,14,230,230,23
697,250,341,14,151,227,0
698,181,242,14,246,189,24
699,244,364,14,220,218,8
700,274,194,14,195,207,7
701,185,239,37,348,267,18
702,197,128,14,238,106,24
703,244,107,14,266,238,10
704,184,271,37,252,73,20
705,193,204,14,274,267,24
706,299,404,14,89,52,17
707,292,136,14,50,50,17
708,281,100,14,295,245,23
709,247,341,14,281,272,16
710,299,231,14,297,290,10
711,322,112,12,288,241,9
712,177,192,12,312,298,25
713,245,349,14,97,42,3
714,191,163,12,242,140,10
715,211,192,14,337,223,6
716,205,168,14,227,229,23
717,341,318,14,209,182,10
718,202,215,14,227,93,24
719,196,284,14,322,145,1
720,312,328,14,278,132,16
721,307,266,14,260,334,17
722,205,216,14,291,269,20
723,202,270,14,122,229,17
724,277,46,12,341,245,13
725,318,319,14,300,246,10
726,189,257,14,293,224,6
727,238,227,14,272,232,7
728,293,128,14,299,240,6
729,319,316,14,292,304,10
730,321,336,14,340,343,6
731,169,223,14,259,396,25
732,218,240,14,276,238,7
733,193,195,12,288,267,30
734,221,249,14,174,159,17
735,216,339,14,308,126,20
736,314,315,14,306,344,8
737,213,246,14,226,218,46
738,214,176,14,360,191,17
739,280,144,14,288,253,7
740,306,245,14,206,270,30
741,346,133,12,217,225,10
742,294,137,12,278,212,20
743,166,323,12,283,257,7
744,169,233,37,300,231,23
745,201,221,14,337,359,1
746,298,232,14,240,87,24
747,235,118,14,283,275,7
748,164,222,14,308,232,17
749,203,216,14,298,235,10
750,286,238,14,298,224,46
751,213,226,14,254,78,10
752,336,300,37,254,158,3
753,169,254,14,301,243,28
754,204,273,14,289,236,16
755,211,269,14,226,82,24
756,206,282,14,247,253,10
757,221,212,14,219,219,10
758,194,248,14,212,226,10
759,273,218,14,275,113,16
760,302,220,14,284,233,30
761,315,320,14,351,347,6
762,218,150,14,307,269,30
763,238,227,14,280,236,7
764,43,51,14,305,240,17
765,214,331,12,269,103,10
766,307,369,14,287,259,21
767,178,236,14,204,243,8
768,319,359,14,200,254,17
769,295,234,14,390,193,6
770,177,336,12,155,242,17
771,215,225,14,331,292,25
772,313,360,14,211,322,46
773,238,256,14,265,342,6
774,214,331,12,299,413,17
775,164,243,12,285,271,46
776,221,222,14,301,221,7
777,210,293,14,280,265,38
778,251,222,14,285,238,6
779,178,227,14,90,350,9
780,384,191,12,274,209,16
781,276,268,14,275,195,24
782,212,196,14,267,232,10
783,193,320,14,194,137,33
784,236,220,14,250,188,24
785,345,331,14,223,194,6
786,235,222,14,248,130,16
787,223,243,14,229,272,7
788,301,328,14,221,215,23
789,251,389,14,179,241,6
790,296,399,14,217,342,1
791,172,322,12,54,52,10
792,321,357,14,287,248,23
793,349,179,14,309,352,9
794,190,166,14,242,261,23
795,210,293,14,291,246,21
796,308,104,14,281,178,8
797,251,241,12,290,393,6
798,283,247,14,300,329,6
799,241,353,14,300,144,17
800,193,195,12,246,251,8
801,330,333,37,275,139,10
802,221,221,14,225,267,16
803,288,314,14,88,48,6
804,188,229,14,295,243,7
805,253,343,14,295,279,24
806,319,119,12,271,199,6
807,285,247,14,227,229,23
808,223,230,14,194,256,6
809,177,336,12,215,223,42
810,228,229,14,261,242,10
811,84,20,12,292,244,7
812,252,342,14,265,140,10
813,250,222,14,275,214,20
814,191,162,12,256,256,27
815,186,230,14,426,324,10
816,197,110,12,239,253,10
817,200,115,12,315,356,24
818,180,210,14,313,386,24
819,186,134,14,317,253,6
820,201,135,14,189,239,16
821,300,309,14,291,229,23
822,270,195,14,305,361,8
823,84,18,12,214,332,10
824,283,240,14,262,244,10
825,213,267,14,262,159,10
826,215,209,14,78,0,6
827,192,209,14,346,217,6
828,308,262,14,413,200,1
829,180,238,14,259,406,25
830,205,276,14,193,321,10
831,221,316,12,287,251,23
832,343,318,37,205,242,25
833,296,47,12,98,38,17
834,197,199,14,267,231,10
835,339,220,14,259,172,10
836,295,94,12,251,156,38
837,213,334,14,205,238,10
838,303,221,14,95,390,6
839,254,209,14,316,310,17
840,201,185,14,281,233,7
841,320,291,14,163,270,33
842,297,222,37,246,404,10
843,179,226,14,289,232,7
844,299,352,14,187,239,16
845,299,258,14,310,249,42
846,339,273,37,256,146,24
847,225,242,14,314,253,8
848,326,398,14,267,231,10
849,283,400,14,285,203,6
850,315,196,14,267,232,10
851,341,312,14,296,131,23
852,239,213,14,266,104,9
853,247,259,12,359,334,17
854,205,222,14,251,155,13
855,219,223,14,316,244,17
856,325,219,14,321,335,10
857,186,348,12,302,237,46
858,243,355,14,212,226,10
859,279,400,14,268,229,10
860,232,224,14,339,105,17
861,258,67,14,407,124,17
862,207,211,14,289,263,17
863,330,205,14,251,335,10
864,216,223,14,203,205,6
865,238,256,14,222,260,22
866,310,309,14,214,131,8
867,72,26,14,275,243,10
868,229,266,14,289,92,7
869,162,253,14,269,234,10
870,192,163,14,303,200,17
871,315,137,12,279,253,23
872,239,215,14,293,230,23
873,188,303,12,241,97,10
874,259,337,14,333,284,18
875,201,233,14,297,269,6
876,295,29,12,342,374,17
877,225,222,14,276,259,30
878,283,152,14,169,190,20
879,235,220,14,199,164,38
880,322,251,14,216,166,17
881,296,151,14,296,252,30
882,284,49,14,349,267,18
883,53,58,37,216,154,17
884,173,237,37,267,238,10
885,304,117,12,249,257,7
886,337,342,14,192,236,17
887,196,284,14,230,92,24
888,210,169,14,315,320,9
889,262,108,12,271,171,7
890,204,211,14,239,94,24
891,282,215,14,337,360,17
892,225,204,14,344,334,46
893,176,229,14,282,93,23
894,246,248,14,300,243,13
895,212,230,14,231,287,3
896,185,180,14,277,191,6
897,344,329,14,294,255,8
898,201,268,14,272,238,10
899,197,207,14,337,278,6
900,194,214,14,256,164,24
901,208,201,14,246,250,7
902,154,326,37,281,252,23
903,312,224,12,333,348,9
904,236,196,14,281,233,7
905,225,356,14,316,314,20
906,332,202,14,296,252,30
907,300,406,14,130,226,6
908,191,142,14,267,233,10
909,257,50,12,297,250,10
910,221,189,14,353,378,9
911,191,205,14,278,211,7
912,213,237,14,274,103,23
913,246,161,14,317,304,24
914,313,332,14,334,113,17
915,215,220,14,195,181,10
916,250,343,14,296,231,30
917,298,232,14,249,96,24
918,301,169,12,319,398,25
919,309,236,14,239,224,23
920,215,330,12,274,233,7
921,330,344,14,312,277,6
922,215,322,14,360,191,17
923,301,188,14,372,171,1
924,293,110,14,243,156,10
925,250,388,14,274,234,7
926,269,244,14,296,259,17
927,185,226,12,295,270,25
928,318,383,14,258,181,10
929,333,193,14,275,209,30
930,286,275,14,280,141,23
931,224,239,14,287,248,23
932,267,115,14,282,150,23
933,200,262,14,290,269,30
934,315,222,14,274,355,10
935,215,214,14,278,164,3
936,200,219,14,227,187,10
937,186,221,14,224,264,8
938,365,183,14,263,361,2
939,173,193,14,250,188,24
940,299,96,14,157,310,10
941,205,222,14,283,202,33
942,298,57,14,267,178,8
943,298,73,14,182,197,17
944,292,126,37,273,248,3
945,229,238,14,356,375,17
946,258,67,14,302,239,17
947,298,80,12,317,317,17
948,316,266,12,251,156,10
949,331,213,14,258,388,17
950,319,305,14,312,78,8
951,214,208,14,227,94,17
952,298,92,12,365,368,17
953,285,145,12,65,53,10
954,301,349,14,294,285,8
955,294,88,14,205,238,10
956,170,225,14,281,223,6
957,308,106,14,205,164,2
958,186,213,14,226,187,33
959,172,322,12,283,253,23
960,283,134,14,232,108,38
961,326,279,14,238,104,24
962,289,75,14,291,244,23
963,330,197,12,219,208,10
964,287,88,14,157,256,42
965,313,255,14,278,234,10
966,330,254,14,269,93,7
967,326,365,14,216,207,10
968,200,211,14,278,192,10
969,243,156,14,203,232,10
970,267,173,14,289,232,7
971,316,100,12,327,292,25
972,215,330,12,89,52,17
973,274,230,14,204,229,10
974,214,244,14,278,237,7
975,203,265,14,449,110,46
976,283,137,14,340,381,6
977,204,231,14,282,338,10
978,279,114,12,286,250,23
979,175,216,14,289,265,21
980,270,48,14,125,162,6
981,240,129,14,243,159,3
982,298,352,14,52,385,9
983,251,224,14,345,333,17
984,201,117,12,317,320,17
985,236,112,14,232,89,24
986,286,186,12,58,55,25
987,276,224,14,267,207,10
988,55,49,14,107,315,30
